name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
Amon-Ra St. Brown,24,WR,16,16,4,24,0,2,75.0,11,6.0,1.5,0.3,164,119,1515,12.7,10,75,61.6,70,7.4,94.7,72.6,9.2,123,12.5,1539,10,1,"PB,AP-1"
Jahmyr Gibbs,21,RB,15,3,182,945,10,42,46.7,36,5.2,63.0,12.1,71,52,316,6.1,1,20,46.5,24,3.5,21.1,73.2,4.5,234,5.4,1261,11,2,"PB,AP ORoY-4"
David Montgomery,26,RB,14,14,219,1015,13,59,54.8,75,4.6,72.5,15.6,24,16,117,7.3,0,7,54.2,19,1.1,8.4,66.7,4.9,235,4.8,1132,13,2,
Sam LaPorta,22,TE,17,14,1,4,0,0,100.0,4,4.0,0.2,0.1,120,86,889,10.3,10,48,55.8,48,5.1,52.3,71.7,7.4,87,10.3,893,10,0,"PB,AP-2,AP ORoY-3"
Josh Reynolds,28,WR,17,13,0,0,0,0,,,,0.0,0.0,64,40,608,15.2,5,32,56.3,33,2.4,35.8,62.5,9.5,40,15.2,608,5,1,
Kalif Raymond,29,WR,17,3,7,75,0,2,71.4,40,10.7,4.4,0.4,44,35,489,14.0,1,20,65.9,41,2.1,28.8,79.5,11.1,42,13.4,564,1,1,
Jameson Williams,22,WR,12,10,3,29,1,1,100.0,19,9.7,2.4,0.3,42,24,354,14.8,2,14,47.6,63,2.0,29.5,57.1,8.4,27,14.2,383,3,1,
Craig Reynolds,27,RB,17,0,41,179,1,11,43.9,19,4.4,10.5,2.4,5,5,47,9.4,0,2,60.0,28,0.3,2.8,100.0,9.4,46,4.9,226,1,2,
Brock Wright,25,TE,14,4,0,0,0,0,,,,0.0,0.0,14,13,91,7.0,1,2,64.3,25,0.9,6.5,92.9,6.5,13,7.0,91,1,0,
Donovan Peoples-Jones,24,WR,8,1,0,0,0,0,,,,0.0,0.0,7,5,58,11.6,0,3,42.9,20,0.6,7.3,71.4,8.3,5,11.6,58,0,0,
Marvin Jones,33,WR,6,4,0,0,0,0,,,,0.0,0.0,10,5,35,7.0,0,2,30.0,16,0.8,5.8,50.0,3.5,5,7.0,35,0,1,
Khalil Dorsey,25,CB,13,2,0,0,0,0,,,,0.0,0.0,1,1,31,31.0,0,1,100.0,31,0.1,2.4,100.0,31.0,1,31.0,31,0,0,
James Mitchell,24,TE,15,1,0,0,0,0,,,,0.0,0.0,2,2,28,14.0,0,1,100.0,24,0.1,1.9,100.0,14.0,2,14.0,28,0,0,
Jared Goff,29,QB,17,17,32,21,2,5,21.9,11,0.7,1.2,1.9,0,0,0,,0,0,,,0.0,0.0,,,32,0.7,21,2,6,
Zonovan Knight,22,RB,2,0,3,13,0,0,33.3,8,4.3,6.5,1.5,1,1,8,8.0,0,0,100.0,8,0.5,4.0,100.0,8.0,4,5.3,21,0,0,
Devine Ozigbo,27,RB,3,0,3,5,0,1,66.7,4,1.7,1.7,1.0,1,1,8,8.0,0,0,100.0,8,0.3,2.7,100.0,8.0,4,3.3,13,0,0,
Malcolm Rodriguez,24,LB,17,3,0,0,0,0,,,,0.0,0.0,1,1,6,6.0,0,1,100.0,6,0.1,0.4,100.0,6.0,1,6.0,6,0,0,
Dan Skipper,29,T,11,1,0,0,0,0,,,,0.0,0.0,1,1,4,4.0,0,0,100.0,4,0.1,0.4,100.0,4.0,1,4.0,4,0,0,
Jalen Reeves-Maybin,28,LB,17,0,2,3,0,1,50.0,3,1.5,0.2,0.1,0,0,0,,0,0,,,0.0,0.0,,,2,1.5,3,0,0,"PB,AP-2"
Antoine Green,24,WR,9,0,0,0,0,0,,,,0.0,0.0,2,1,2,2.0,0,0,0.0,2,0.1,0.2,50.0,1.0,1,2.0,2,0,0,
Jason Cabinda,27,FB,4,0,1,0,0,0,0.0,,0.0,0.0,0.3,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,0,
Teddy Bridgewater,31,QB,1,0,2,-2,0,0,0.0,-1,-1.0,-2.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,2,-1.0,-2,0,0,
