name_display,age,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
Kalif Raymond,30,WR,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,AP-2,2,0,0,1,50.0,,0.0,0.0,0.2,22,17,215,12.6,2,10,59.1,38,1.4,17.9,77.3,9.8,19,11.3,215,2,0
Craig Reynolds,28,RB,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,31,139,0,6,54.8,19,4.5,8.2,1.8,5,3,40,13.3,0,2,60.0,26,0.2,2.4,60.0,8.0,34,5.3,179,0,1
Brock Wright,26,TE,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0.0,0.0,16,13,100,7.7,2,7,68.8,16,0.8,5.9,81.3,6.3,13,7.7,100,2,0
Sione Vaki,23,RB,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,0,0,33.3,7,2.3,0.9,0.4,3,3,37,12.3,0,2,100.0,17,0.2,2.3,100.0,12.3,9,5.7,51,0,0
Jermar Jefferson,24,RB,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,22,0,1,83.3,8,3.7,11.0,3.0,1,1,10,10.0,0,1,100.0,10,0.5,5.0,100.0,10.0,7,4.6,32,0,0
Allen Robinson,31,WR,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0.0,0.0,7,3,30,10.0,0,3,42.9,21,0.3,2.5,42.9,4.3,3,10.0,30,0,0
Shane Zylstra,28,TE,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0.0,0.0,1,1,22,22.0,0,1,100.0,22,0.1,1.8,100.0,22.0,1,22.0,22,0,0
Dan Skipper,30,T,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0.0,0.0,1,1,9,9.0,1,1,100.0,9,0.1,0.5,100.0,9.0,1,9.0,9,1,0
Isaiah Williams,23,WR,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0.0,0.0,3,2,6,3.0,0,0,0.0,4,1.0,3.0,66.7,2.0,2,3.0,6,0,0
Jalen Reeves-Maybin,29,LB,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0.0,1,1.0,0.1,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,1.0,1,0,0
Taylor Decker,31,T,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,PB,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0
Tom Kennedy,28,WR,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0
